Date,Time,Result
2025-12-23,22:13:53.032166,NOT OK
2025-12-23,22:13:53.216094,NOT OK
2025-12-23,22:13:53.529010,NOT OK
2025-12-23,22:13:53.735866,NOT OK
2025-12-23,22:13:53.777654,NOT OK
2025-12-23,22:13:53.847906,NOT OK
2025-12-23,22:13:53.925145,NOT OK
2025-12-23,22:13:54.028835,NOT OK
2025-12-23,22:13:54.126832,NOT OK
2025-12-23,22:13:54.228035,NOT OK
2025-12-23,22:13:54.322485,NOT OK
2025-12-23,22:13:54.480509,NOT OK
2025-12-23,22:13:54.679534,NOT OK
2025-12-23,22:13:54.798069,NOT OK
2025-12-23,22:13:54.889325,NOT OK
2025-12-23,22:13:55.071527,NOT OK
2025-12-23,22:13:55.413480,NOT OK
2025-12-23,22:13:55.716173,NOT OK
2025-12-23,22:13:55.924256,NOT OK
2025-12-23,22:13:56.118674,NOT OK
2025-12-23,22:13:56.359803,NOT OK
2025-12-23,22:13:56.602141,NOT OK
2025-12-23,22:13:56.671288,NOT OK
2025-12-23,22:13:56.850467,NOT OK
2025-12-23,22:13:56.980822,NOT OK
2025-12-23,22:13:57.070300,NOT OK
2025-12-23,22:13:57.221649,NOT OK
2025-12-23,22:13:57.463825,NOT OK
2025-12-23,22:13:57.561227,NOT OK
2025-12-23,22:13:57.658198,NOT OK
2025-12-23,22:13:57.760304,NOT OK
2025-12-23,22:13:57.867641,NOT OK
2025-12-23,22:13:57.967452,NOT OK
2025-12-23,22:13:58.107484,NOT OK
2025-12-23,22:13:58.172215,NOT OK
2025-12-23,22:13:58.207634,NOT OK
2025-12-23,22:13:58.304383,NOT OK
2025-12-23,22:13:58.419308,NOT OK
2025-12-23,22:13:58.567093,NOT OK
2025-12-23,22:13:58.704234,NOT OK
2025-12-23,22:13:58.819443,NOT OK
2025-12-23,22:13:58.896750,NOT OK
2025-12-23,22:13:59.102324,NOT OK
2025-12-23,22:13:59.198698,NOT OK
2025-12-23,22:13:59.288708,NOT OK
2025-12-23,22:13:59.462628,NOT OK
2025-12-23,22:13:59.593757,NOT OK
2025-12-23,22:13:59.802882,NOT OK
2025-12-23,22:13:59.991565,NOT OK
2025-12-23,22:14:00.351412,NOT OK
2025-12-23,22:14:00.446694,NOT OK
2025-12-23,22:14:00.553586,NOT OK
2025-12-23,22:14:00.744365,NOT OK
2025-12-23,22:14:00.881727,NOT OK
2025-12-23,22:14:01.164584,NOT OK
2025-12-23,22:14:01.259993,NOT OK
2025-12-23,22:14:01.554894,NOT OK
2025-12-23,22:14:01.739232,NOT OK
2025-12-23,22:14:01.885677,NOT OK
2025-12-23,22:14:01.994417,NOT OK
2025-12-23,22:14:02.145036,NOT OK
2025-12-23,22:14:02.239334,NOT OK
2025-12-23,22:14:02.276053,NOT OK
2025-12-23,22:14:02.357890,NOT OK
2025-12-23,22:14:02.391572,NOT OK
2025-12-23,22:14:02.534279,NOT OK
2025-12-23,22:14:02.635208,NOT OK
2025-12-23,22:14:02.693990,NOT OK
2025-12-23,22:14:02.735697,NOT OK
2025-12-23,22:14:02.837433,NOT OK
2025-12-23,22:14:02.942372,NOT OK
2025-12-23,22:14:03.079440,NOT OK
2025-12-23,22:14:03.121311,NOT OK
2025-12-23,22:14:03.222134,NOT OK
2025-12-23,22:14:03.887884,NOT OK
2025-12-23,22:14:03.979570,NOT OK
2025-12-23,22:14:04.122838,NOT OK
2025-12-23,22:14:04.331391,NOT OK
2025-12-23,22:14:04.560194,NOT OK
2025-12-23,22:14:04.679665,NOT OK
2025-12-23,22:14:04.778441,NOT OK
2025-12-23,22:14:04.860272,NOT OK
2025-12-23,22:14:04.962777,NOT OK
2025-12-23,22:14:05.055104,NOT OK
2025-12-23,22:14:05.095864,NOT OK
2025-12-23,22:14:05.210720,NOT OK
2025-12-23,22:14:05.334146,NOT OK
2025-12-23,22:14:05.527796,NOT OK
2025-12-23,22:14:05.626351,NOT OK
2025-12-23,22:14:05.727097,NOT OK
2025-12-23,22:14:05.861250,NOT OK
2025-12-23,22:14:05.959227,NOT OK
2025-12-23,22:14:06.122876,NOT OK
2025-12-23,22:14:06.193399,NOT OK
2025-12-23,22:14:06.425119,NOT OK
2025-12-23,22:14:06.515288,NOT OK
2025-12-23,22:14:06.641849,NOT OK
2025-12-23,22:14:06.757308,NOT OK
2025-12-23,22:14:06.912974,NOT OK
2025-12-23,22:14:07.077048,NOT OK
2025-12-23,22:14:07.288379,NOT OK
2025-12-23,22:14:07.503932,NOT OK
